,author_id,created_date,name,date,time,latitude,longitude,average_noise_level,average_light_intensity,wind_direction,wind_speed,cloud_cover,cloud_type,cloud_photo_id,visibility,traffic_count,temperature,humidity,collecting_photo_id,note_of_anomaly,air_pollution
0,0,2020-11-13T13:35:54.773Z,Francesca Ventura,30/10/2020,15:30:00,-12.099268,-77.045183,53,1433,SW,4,8,stratus,,3,102,21,68,,,9
1,0,2020-11-13T13:34:31.681Z,Francesca Ventura,19/10/2020,15:30:00,-12.099268,-77.045183,52,1613,SW,3,8,stratus,,2,95,22,71,,,12
2,0,2020-11-12T01:13:56.992Z,Constanza Guerinoni,06/11/2020,15:30:00,-12.095244,-77.044629,64,8234,NE,4,2,Few,,2,22,20,75,,,3
3,0,2020-11-12T01:12:01.175Z,Constanza Guerinoni,06/11/2020,08:30:00,-12.095242,-77.044353,52,4300,calm,2,6,Scattered,,3,7,18,84,,,
4,0,2020-11-12T01:10:13.719Z,Constanza Guerinoni,04/11/2020,15:30:00,-12.095676,-77.044365,67,8469,NE,4,2,Few,,2,15,20,72,,,3
5,0,2020-11-12T01:08:28.690Z,Constanza Guerinoni,04/11/2020,08:30:00,-12.095296,-77.044357,52,4289,calm,2,6,Scattered,,2,7,19,82,,,
6,0,2020-11-12T01:06:54.066Z,Constanza Guerinoni,02/11/2020,15:30:00,-12.095486,-77.044404,67,8403,NE,5,1,Few,,3,18,22,80,,,2
7,0,2020-11-12T01:04:51.082Z,Constanza Guerinoni,11/11/2020,08:30:00,-12.095464,-77.044403,52,4300,calm,2,6,Scattered,,3,4,19,83,,,
8,0,2020-11-12T01:03:05.674Z,Constanza Guerinoni,30/10/2020,15:30:00,-12.095487,-77.04436,65,8397,NE,4,2,Few,,2,16,21,79,,,2
9,0,2020-11-12T01:01:20.554Z,Constanza Guerinoni,30/10/2020,08:30:00,-12.095283,-77.044413,52,4298,SE,2,6,Scattered,,2,7,16,83,,,
10,0,2020-11-12T00:59:10.837Z,Constanza Guerinoni,28/10/2020,15:30:00,-12.095467,-77.044505,64,8201,NE,4,2,Few,,2,14,19,74,,,3
11,0,2020-11-12T00:57:13.213Z,Constanza Guerinoni,28/10/2020,08:30:00,-12.095418,-77.044405,54,4290,calm,2,7,Scattered,,3,8,16,83,,,
12,0,2020-11-12T00:55:19.786Z,Constanza Guerinoni,26/10/2020,15:30:00,-12.095368,-77.044238,62,8238,calm,2,2,Scattered,,2,15,19,73,,,2
13,0,2020-11-12T00:52:09.539Z,Constanza Guerinoni,26/10/2020,15:30:00,-12.095227,-77.044357,63,8390,NE,4,2,Few,,1,19,20,75,,,2
14,0,2020-11-12T00:50:25.136Z,Constanza Guerinoni,23/10/2020,15:30:00,-12.095384,-77.044191,65,8412,NE,5,3,Few,,2,16,19,75,,,3
15,0,2020-11-12T00:48:13.965Z,Constanza Guerinoni,23/10/2020,08:30:00,-12.095353,-77.044338,53,4200,calm,2,7,Scattered,,3,6,18,83,,,
16,0,2020-11-11T17:23:38.797Z,Eileen Manning,14/10/2020,15:30:00,-12.110505,-77.034777,51,42995,SE,3,8,Stratus,,3,2,18,72,,,1
